date;data_mean_global;data_mean_nh;data_mean_sh
1874-8-15;285.681616774426;283.346283519346;288.016950029505
1874-9-15;285.660019729305;283.464511020681;287.855528437929
1874-10-15;286.71584619528;285.59527447393;287.83641791663
1874-11-15;287.738856810356;287.495854610918;287.981859009794
1874-12-15;288.393603450647;288.758006858945;288.029200042349
1875-1-15;288.870551603777;289.598173644802;288.142929562752
1875-2-15;289.269526709748;290.270659459745;288.268393959751
1875-3-15;289.626989900709;290.928680623537;288.325299177881
1875-4-15;289.883006453368;291.477979001977;288.288033904759
1875-5-15;289.841599431719;291.394411379899;288.288787483539
1875-6-15;289.123526394616;289.891213160775;288.355839628457
1875-7-15;287.50087464444;286.625390688254;288.376358600626
1875-8-15;285.918023194133;283.586076230983;288.249970157284
1875-9-15;285.897481593912;283.704935389472;288.090027798353
1875-10-15;286.953599506831;285.835516865603;288.071682148059
1875-11-15;287.97635770778;287.735339813982;288.217375601578
1875-12-15;288.63045624372;288.996470450644;288.264442036796
1876-1-15;289.108053378383;289.838507214855;288.377599541911
1876-2-15;289.505587510005;290.509402864031;288.50177215598
1876-3-15;289.861236149194;291.165336551532;288.557135746856
1876-4-15;290.115235380203;291.712139514173;288.518331246233
1876-5-15;290.071423868071;291.62527808671;288.517569649432
1876-6-15;289.35080479622;290.118286499171;288.583323093269
1876-7-15;287.726465709593;286.850172025472;288.602759393714
1876-8-15;286.142978268916;283.810648601484;288.475307936348
1876-9-15;286.122082255244;283.929662419421;288.314502091066
1876-10-15;287.178390180674;286.06104536951;288.295734991838
1876-11-15;288.201567933648;287.961964000218;288.441171867077
1876-12-15;288.856167791889;289.224001314253;288.488334269525
1877-1-15;289.343186985658;290.083236847398;288.603137123919
1877-2-15;289.740044813339;290.753814224631;288.726275402046
1877-3-15;290.093989980844;291.407313382893;288.780666578796
1877-4-15;290.345876739701;291.949466927985;288.742286551418
1877-5-15;290.297035420968;291.851419213984;288.742651627952
1877-6-15;289.569745909228;290.328449452039;288.811042366418
1877-7-15;287.945014553504;287.055338464201;288.834690642808
1877-8-15;286.368223417938;284.026034709974;288.710412125903
1877-9-15;286.35345244901;284.15541912868;288.55148576934
1877-10-15;287.417053043095;286.299241519832;288.534864566358
1877-11-15;288.446124458049;288.211769795416;288.680479120683
1877-12-15;289.104245310476;289.480660743041;288.72782987791
1878-1-15;289.590833060467;290.337876243085;288.843789877849
1878-2-15;289.987545801578;291.008504720296;288.96658688286
1878-3-15;290.340257132889;291.660182603636;289.020331662141
1878-4-15;290.590268354985;292.198573794923;288.981962915046
1878-5-15;290.537107257586;292.091715145904;288.982499369267
1878-6-15;289.803974604788;290.556143685563;289.051805524014
1878-7-15;288.177576770907;287.278142004083;289.07701153773
1878-8-15;286.603881187519;284.25470766256;288.953054712478
1878-9-15;286.591458633415;284.389733990115;288.793183276716
1878-10-15;287.657926697338;286.540365791283;288.775487603394
1878-11-15;288.688624226761;288.4588716817;288.918376771821
1878-12-15;289.346539223793;289.730193403208;288.962885044379
1879-1-15;289.830938237515;290.585082843341;289.07679363169
1879-2-15;290.224756849335;291.253226955675;289.196286742995
1879-3-15;290.573885218287;291.901071084727;289.246699351847
1879-4-15;290.820114742045;292.434334475762;289.205895008329
1879-5-15;290.761567016866;292.31854777116;289.204586262572
1879-6-15;290.022332318965;290.771421533935;289.273243103994
1879-7-15;288.394035113407;287.48894260935;289.299127617464
1879-8-15;286.823249524233;284.470792053841;289.175706994626
1879-9-15;286.814015637593;284.611818865329;289.016212409856
1879-10-15;287.885097773554;286.77042316221;288.999772384899
1879-11-15;288.920241111515;288.697078523296;289.143403699733
1879-12-15;289.58175897808;289.974261227156;289.189256729004
1880-1-15;290.065054154911;290.824849296632;289.30525901319
1880-2-15;290.461612959388;291.495993111613;289.427232807163
1880-3-15;290.81352080709;292.146712522666;289.480329091515
1880-4-15;291.062567653065;292.682617586735;289.442517719395
1880-5-15;291.006403690211;292.568494924138;289.444312456283
1880-6-15;290.269216739785;291.022223032537;289.516210447033
1880-7-15;288.643727224093;287.741813079957;289.545641368228
1880-8-15;287.076536720563;284.727488273614;289.425585167512
1880-9-15;287.070439559257;284.871991030315;289.268888088198
1880-10-15;288.144380508424;287.033928826822;289.254832190026
1880-11-15;289.181746679631;288.963367268575;289.400126090686
1880-12-15;289.84478514596;290.242272566814;289.447297725107
1881-1-15;290.329164629836;291.093777595497;289.564551664174
1881-2-15;290.726180019623;291.76512296633;289.687237072916
1881-3-15;291.078223195958;292.415558177804;289.740888214111
1881-4-15;291.327260008323;292.950760914335;289.703759102311
1881-5-15;291.270644309651;292.834947518637;289.706341100665
1881-6-15;290.532839282205;291.286342579527;289.779335984883
1881-7-15;288.907843946316;288.005627594741;289.810060297891
1881-8-15;287.342464809669;284.993747889247;289.69118173009
1881-9-15;287.338421768798;285.141047581904;289.535795955692
1881-10-15;288.414993800487;287.30649539838;289.523492202594
1881-11-15;289.45513406052;289.239672841352;289.670595279688
1881-12-15;290.120821661786;290.521832200886;289.719811122685
1882-1-15;290.609097765456;291.378613330627;289.839582200285
1882-2-15;291.008050065482;292.052085945002;289.964014185962
1882-3-15;291.361513791669;292.703822270015;290.019205313322
1882-4-15;291.611515856004;293.239357173733;289.983674538276
1882-5-15;291.554581903532;293.121562935659;289.987600871404
1882-6-15;290.815423485736;291.569045706649;290.061801264823
1882-7-15;289.190177204952;288.286840524312;290.093513885591
1882-8-15;287.62576530907;285.276982375942;289.974548242199
1882-9-15;287.62161424437;285.425433773937;289.817794714804
1882-10-15;288.697392179043;287.591603555436;289.80318080265
1882-11-15;289.735381359625;289.524307881469;289.94645483778
1882-12-15;290.397477914185;290.803876262697;289.991079565674
1883-1-15;290.877706425447;291.649788502213;290.10562434868
1883-2-15;291.271501493981;292.318117492994;290.224885494967
1883-3-15;291.619676171042;292.964660865787;290.274691476296
1883-4-15;291.864397870549;293.495148281789;290.233647459309
1883-5-15;291.802569544603;293.372966695436;290.23217239377
1883-6-15;291.058993368441;291.816777413223;290.301209323659
1883-7-15;289.42939348844;288.530483929847;290.328303047033
1883-8-15;287.860818094216;285.515987827171;290.205648361262
1883-9-15;287.853461119113;285.66070415912;290.046218079107
1883-10-15;288.927039605973;287.824077077904;290.030002134042
1883-11-15;289.96405983644;289.755171926207;290.172947746674
1883-12-15;290.626373619932;291.034497526171;290.218249713694
1884-1-15;291.106047807921;291.878057799684;290.334037816158
1884-2-15;291.502269318014;292.548524135263;290.456014500764
1884-3-15;291.853832898506;293.198442351794;290.509223445217
1884-4-15;292.102617370594;293.733434536932;290.471800204257
1884-5-15;292.046026655664;293.617846630052;290.474206681276
1884-6-15;291.308408031052;292.069766781022;290.547049281081
1884-7-15;289.683353357369;288.789067176297;290.577639538441
1884-8-15;288.117573684478;285.776447535726;290.45869983323
1884-9-15;288.113064869636;285.922910387565;290.303219351707
1884-10-15;289.188975462075;288.087286179706;290.290664744445
1884-11-15;290.228394584541;290.019306940207;290.437482228875
1884-12-15;290.89342641663;291.300479495012;290.486373338248
1885-1-15;291.376562266687;292.147886247162;290.605238286213
1885-2-15;291.775896950026;292.821387248257;290.730406651795
1885-3-15;292.130598331915;293.474561000742;290.786635663087
1885-4-15;292.382443869343;294.013057387447;290.75183035124
1885-5-15;292.32929948157;293.902011145353;290.756587817787
1885-6-15;291.595292420964;292.359206020323;290.831378821606
1885-7-15;289.972597686992;289.081705893535;290.863489480449
1885-8-15;288.407790326416;286.069457491908;290.746123160925
1885-9-15;288.404256440853;286.216164068494;290.592348813212
1885-10-15;289.480841883539;288.380321116799;290.58136265028
1885-11-15;290.521102173339;290.312186884912;290.730017461766
1885-12-15;291.187308501113;291.593967228679;290.780649773547
1886-1-15;291.673474687508;292.445816713687;290.901132661329
1886-2-15;292.074241362393;293.120790718784;291.027692006002
1886-3-15;292.430290809863;293.775357000761;291.085224618965
1886-4-15;292.683393728721;294.315160955881;291.05162650156
1886-5-15;292.631419188295;294.205346218862;291.057492157728
1886-6-15;291.898485595791;292.663686206364;291.133284985218
1886-7-15;290.276738055287;289.387240998957;291.166235111617
1886-8-15;288.712744246133;286.375939104698;291.049549387569
1886-9-15;288.709909746369;286.523475734318;290.89634375842
1886-10-15;289.787070181457;288.688335586196;290.885804776719
1886-11-15;290.827800366441;290.620797256768;291.034803476114
1886-12-15;291.49442215917;291.903126625867;291.085717692473
1887-1-15;291.977661510786;292.749268536071;291.2060544855
1887-2-15;292.379389084326;293.425232775271;291.333545393382
1887-3-15;292.736921439701;294.081683254771;291.39215962463
1887-4-15;292.991857216474;294.624338118016;291.359376314933
1887-5-15;292.942961211298;294.519856137499;291.366066285097
1887-6-15;292.213954864627;292.985453832588;291.442455896665
1887-7-15;290.594317851433;289.712901557153;291.475734145714
1887-8-15;289.030380137882;286.700720674412;291.360039601352
1887-9-15;289.028202411523;286.847732345046;291.208672478001
1887-10-15;290.106066863387;289.011806691015;291.200327035759
1887-11-15;291.148430292452;290.944217681877;291.352642903028
1887-12-15;291.817846781474;292.228471801125;291.407221761824
1888-1-15;292.308528076281;293.085550740192;291.53150541237
1888-2-15;292.714190305893;293.76575546943;291.662625142356
1888-3-15;293.075636660964;294.426354912589;291.724918409338
1888-4-15;293.334398850369;294.972953638418;291.695844062319
1888-5-15;293.288971290173;294.871822019926;291.70612056042
1888-6-15;292.563051342724;293.340182970616;291.785919714832
1888-7-15;290.946526829216;290.070332338042;291.822721320389
1888-8-15;289.385673294448;287.060959880827;291.710386708069
1888-9-15;289.385945818259;287.210193043321;291.561698593198
1888-10-15;290.465632327077;289.375919332523;291.555345321631
1888-11-15;291.508955349124;291.309156842712;291.708753855536
1888-12-15;292.178478770189;292.593229729737;291.76372781064
1889-1-15;292.673150386703;293.457837197416;291.888463575991
1889-2-15;293.076889186958;294.135787810029;292.017990563886
1889-3-15;293.435356998039;294.7925041266;292.078209869478
1889-4-15;293.690534651283;295.333662121752;292.047407180815
1889-5-15;293.639718176552;295.223378081848;292.056058271257
1889-6-15;292.907401072838;293.679917816983;292.134884328693
1889-7-15;291.287767345491;290.404523176119;292.171011514863
1889-8-15;289.727642960535;287.39823867796;292.05704724311
1889-9-15;289.728570033772;287.550865757597;291.906274309947
1889-10-15;290.80987394251;289.721423710071;291.898324174949
1889-11-15;291.854520043375;291.659498507681;292.04954157907
1889-12-15;292.524563858583;292.946350095498;292.102777621668
1890-1-15;293.0147245866;293.803154719001;292.2262944542
1890-2-15;293.41839259709;294.48152487413;292.355260320051
1890-3-15;293.777031041337;295.138862116606;292.415199966068
1890-4-15;294.032611320709;295.680806638546;292.384416002872
1890-5-15;293.98230509168;295.571283675596;292.393326507764
1890-6-15;293.250620633766;294.028591034329;292.472650233203
1890-7-15;291.632000928778;290.754173965316;292.509827892239
1890-8-15;290.073269580181;287.749200509852;292.39733865051
1890-9-15;290.075654935125;287.903230428343;292.248079441906
1890-10-15;291.158513987458;290.075321214088;292.241706760829
1890-11-15;292.204687606564;292.0149221462;292.394453066929
1890-12-15;292.876175626813;293.303128933527;292.449222320099
1891-1-15;293.36914921378;294.16381441201;292.57448401555
1891-2-15;293.773853221516;294.84306838249;292.704638060542
1891-3-15;294.133245534071;295.500809784484;292.765681283658
1891-4-15;294.389398263031;296.042649515464;292.736147010598
1891-5-15;294.339016725229;295.931717532462;292.746315917996
1891-6-15;293.606829347918;294.386616721174;292.827041974663
1891-7-15;291.988703930955;291.111650221526;292.865757640384
1891-8-15;290.43159965367;288.108742679343;292.754456627997
1891-9-15;290.435344201141;288.264701615333;292.605986786949
1891-10-15;291.519597772002;290.438920197134;292.60027534687
1891-11-15;292.566722359936;292.380308612641;292.75313610723
1891-12-15;293.238527209887;293.669236480027;292.807817939748
1892-1-15;293.722100522894;294.512343649568;292.931857396219
1892-2-15;294.127312847078;295.191641698381;293.062983995775
1892-3-15;294.487873537486;295.850914818046;293.124832256927
1892-4-15;294.745333822765;296.395797704142;293.094869941388
1892-5-15;294.698253904187;296.292653352927;293.103854455447
1892-6-15;293.970340918997;294.758707523274;293.181974314721
1892-7-15;292.351394172269;291.486242324773;293.216546019766
